"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","998","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","991","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","995","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","983","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1011","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1004","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1013","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1048","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1069","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1144","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1201","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1283","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1273","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1269","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units","0","v19457802","2.1","1296","","","","0"
