"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2031","","","","0"
"1999","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2025","","","","0"
"2000","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2118","","","","0"
"2001","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2093","","","","0"
"2002","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2162","","","","0"
"2003","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2248","","","","0"
"2004","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2192","","","","0"
"2005","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2296","","","","0"
"2006","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2382","","","","0"
"2007","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2601","","","","0"
"2008","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2670","","","","0"
"2009","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2610","","","","0"
"2010","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2659","","","","0"
"2011","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2713","","","","0"
"2012","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2702","","","","0"
"2013","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2723","","","","0"
"2014","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2695","","","","0"
"2015","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2675","","","","0"
"2016","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2660","","","","0"
"2017","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2688","","","","0"
"2018","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2526","","","","0"
"2019","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units","0","v19457816","4.1","2535","","","","0"
"1998","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1589","","","","0"
"1999","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1582","","","","0"
"2000","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1600","","","","0"
"2001","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1581","","","","0"
"2002","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1592","","","","0"
"2003","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1608","","","","0"
"2004","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1615","","","","0"
"2005","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1624","","","","0"
"2006","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1667","","","","0"
"2007","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1758","","","","0"
"2008","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1864","","","","0"
"2009","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1877","","","","0"
"2010","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1912","","","","0"
"2011","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1914","","","","0"
"2012","Nova Scotia","2016A000212","Total number of police officers","Number","223","units","0","v19457814","4.2","1934","","","","0"
