"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","28072","","","","0"
"1999","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","29083","","","","0"
"2000","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","29872","","","","0"
"2001","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","30507","","","","0"
"2002","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","30861","","","","0"
"2003","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","31795","","","","0"
"2004","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","31897","","","","0"
"2005","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","32534","","","","0"
"2006","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","33187","","","","0"
"2007","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","34250","","","","0"
"2008","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","34901","","","","0"
"2009","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","35917","","","","0"
"2010","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36675","","","","0"
"2011","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","37074","","","","0"
"2012","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","37087","","","","0"
"2013","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","37012","","","","0"
"2014","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36740","","","","0"
"2015","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","37080","","","","0"
"2016","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36959","","","","0"
"2017","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36855","","","","0"
"2018","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36453","","","","0"
"2019","Ontario","2016A000235","Total number of all personnel","Number","223","units","0","v19457837","7.1","36948","","","","0"
"1998","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","20454","","","","0"
"1999","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","21027","","","","0"
"2000","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","21637","","","","0"
"2001","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","22175","","","","0"
"2002","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","22627","","","","0"
"2003","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","23241","","","","0"
"2004","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","23214","","","","0"
"2005","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","23420","","","","0"
"2006","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","23759","","","","0"
"2007","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","24450","","","","0"
"2008","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","24945","","","","0"
"2009","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","25558","","","","0"
"2010","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","26306","","","","0"
"2011","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","26387","","","","0"
"2012","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","26255","","","","0"
"2013","Ontario","2016A000235","Total number of police officers","Number","223","units","0","v19457835","7.2","26359","","","","0"
