"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","18254","","","","0"
"1999","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","18436","","","","0"
"2000","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","18026","","","","0"
"2001","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","18298","","","","0"
"2002","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","19101","","","","0"
"2003","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","19028","","","","0"
"2004","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","19231","","","","0"
"2005","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","19782","","","","0"
"2006","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","19864","","","","0"
"2007","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20059","","","","0"
"2008","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20232","","","","0"
"2009","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20593","","","","0"
"2010","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20567","","","","0"
"2011","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20826","","","","0"
"2012","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20746","","","","0"
"2013","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20748","","","","0"
"2014","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","21355","","","","0"
"2015","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20825","","","","0"
"2016","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20662","","","","0"
"2017","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20776","","","","0"
"2018","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20932","","","","0"
"2019","Quebec","2016A000224","Total number of all personnel","Number","223","units","0","v19457830","6.1","20675","","","","0"
"1998","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","13636","","","","0"
"1999","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","13750","","","","0"
"2000","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","13835","","","","0"
"2001","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","13927","","","","0"
"2002","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","14436","","","","0"
"2003","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","14371","","","","0"
"2004","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","14426","","","","0"
"2005","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","14753","","","","0"
"2006","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15099","","","","0"
"2007","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15233","","","","0"
"2008","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15403","","","","0"
"2009","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15532","","","","0"
"2010","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15586","","","","0"
"2011","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15802","","","","0"
"2012","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15977","","","","0"
"2013","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","16002","","","","0"
"2014","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","16194","","","","0"
"2015","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","16012","","","","0"
"2016","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15957","","","","0"
"2017","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15884","","","","0"
"2018","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15854","","","","0"
"2019","Quebec","2016A000224","Total number of police officers","Number","223","units","0","v19457828","6.2","15622","","","","0"
"1998","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12196","","","","0"
"1999","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12147","","","","0"
"2000","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12074","","","","0"
"2001","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12004","","","","0"
"2002","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12221","","","","0"
"2003","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12048","","","","0"
"2004","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11936","","","","0"
"2005","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11960","","","","0"
"2006","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12080","","","","0"
"2007","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12064","","","","0"
"2008","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12050","","","","0"
"2009","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12038","","","","0"
"2010","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12003","","","","0"
"2011","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12052","","","","0"
"2012","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12159","","","","0"
"2013","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12112","","","","0"
"2014","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","12192","","","","0"
"2015","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11991","","","","0"
"2016","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11863","","","","0"
"2017","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11758","","","","0"
"2018","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11677","","","","0"
"2019","Quebec","2016A000224","Male police officers","Number","223","units","0","v53509197","6.10","11444","","","","0"
"1998","Quebec","2016A000224","Female police officers","Number","223","units","0","v53509198","6.11","1440","","","","0"
"1999","Quebec","2016A000224","Female police officers","Number","223","units","0","v53509198","6.11","1603","","","","0"
