"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","58156","","","","0"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","59337","","","","0"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","56935","","","","0"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","56251","","","","0"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","57570","","","","0"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","59576","","","","0"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","60965","","","","0"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","53781","","","","0"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","49970","","","","0"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","47018","","","","0"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","48594","","","","0"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","47975","","","","0"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","47735","","","","0"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","45809","","","","0"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","47498","","","","0"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","41384","","","","0"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","38280","","","","0"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","41575","","","","0"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","40276","","","","0"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","44106","","","","0"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","46647","","","","0"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","52457","","","","0"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Actual incidents","Number","223","units","0","v44331594","7.1.1","52854","","","","0"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7748.44","","","","2"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7905.16","","","","2"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7586.09","","","","2"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7502.12","","","","2"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7682.85","","","","2"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7949.94","","","","2"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","8135.51","","","","2"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","7190.36","","","","2"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6701.90","","","","2"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6307.69","","","","2"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6506.48","","","","2"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6397.06","","","","2"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6338.94","","","","2"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6061.76","","","","2"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6263.10","","","","2"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5455.72","","","","2"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5043.64","","","","2"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5478.74","","","","2"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5276.22","","","","2"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","5753.30","","","","2"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6055.68","","","","2"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6752.37","","","","2"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44358161","7.1.2","6763.36","","","","2"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","","..","","","2"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44410372","7.1.3","2.02","","","","2"
