"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","34904","","","","0"
"1999","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","33251","","","","0"
"2000","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","34171","","","","0"
"2001","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","33542","","","","0"
"2002","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","34359","","","","0"
"2003","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35127","","","","0"
"2004","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35506","","","","0"
"2005","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","34504","","","","0"
"2006","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","34009","","","","0"
"2007","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35711","","","","0"
"2008","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","36175","","","","0"
"2009","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","37531","","","","0"
"2010","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","39330","","","","0"
"2011","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","37465","","","","0"
"2012","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","36024","","","","0"
"2013","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35217","","","","0"
"2014","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","32842","","","","0"
"2015","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","33645","","","","0"
