"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","82469","","","","0"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","85022","","","","0"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","77471","","","","0"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","78216","","","","0"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","78971","","","","0"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","86163","","","","0"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","88252","","","","0"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","82494","","","","0"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","82046","","","","0"
"2007","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","76904","","","","0"
"2008","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","72608","","","","0"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","72705","","","","0"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","73827","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","69357","","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","67485","","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","60490","","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","58688","","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","53637","","","","0"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","52700","","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","54459","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","54492","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Actual incidents","Number","223","units","0","v44407145","5.1.1","56956","","","","0"
