"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","882331","","","","0"
"1999","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","821202","","","","0"
"2000","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","825187","","","","0"
"2001","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","810524","","","","0"
"2002","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","799322","","","","0"
"2003","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","780326","","","","0"
"2004","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","747717","","","","0"
"2005","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","729941","","","","0"
"2006","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","756006","","","","0"
"2007","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","726995","","","","0"
"2008","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","705715","","","","0"
"2009","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","690180","","","","0"
"2010","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","666393","","","","0"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","636172","","","","0"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","618486","","","","0"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","566931","","","","0"
"2014","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","547570","","","","0"
"2015","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","551243","","","","0"
"2016","Ontario [35]","2016A000235","Total, all violations [0]","Actual incidents","Number","223","units","0","v44411815","16.1.1","567627","","","","0"
