"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9657","","","","0"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10813","","","","0"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10451","","","","0"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10750","","","","0"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","11847","","","","0"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","13068","","","","0"
"2004","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","12355","","","","0"
"2005","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","11476","","","","0"
"2006","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10358","","","","0"
"2007","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9383","","","","0"
"2008","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9622","","","","0"
"2009","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9979","","","","0"
"2010","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10117","","","","0"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10500","","","","0"
"2012","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","10678","","","","0"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9498","","","","0"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","7739","","","","0"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","6866","","","","0"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","7367","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","7089","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","8271","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","9875","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Actual incidents","Number","223","units","0","v44361611","4.1.1","8789","","","","0"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7110.20","","","","2"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7933.47","","","","2"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7657.20","","","","2"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7866.06","","","","2"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","8655.28","","","","2"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","9523.32","","","","2"
"2004","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","8974.10","","","","2"
"2005","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","8312.63","","","","2"
"2006","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7513.15","","","","2"
"2007","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","6813.05","","","","2"
"2008","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","6934.08","","","","2"
"2009","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44339937","4.1.2","7132.49","","","","2"
