"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","505388","","","","0"
"1999","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","473753","","","","0"
"2000","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","479610","","","","0"
"2001","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","469784","","","","0"
"2002","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","461676","","","","0"
"2003","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","466845","","","","0"
"2004","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","461780","","","","0"
"2005","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","457162","","","","0"
"2006","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","468037","","","","0"
"2007","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","452899","","","","0"
"2008","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","461175","","","","0"
"2009","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","457412","","","","0"
"2010","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","440303","","","","0"
"2011","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","424040","","","","0"
"2012","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","420295","","","","0"
"2013","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","383203","","","","0"
"2014","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","354417","","","","0"
"2015","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","347653","","","","0"
"2016","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","348199","","","","0"
"2017","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","359450","","","","0"
"2018","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","349920","","","","0"
"2019","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","345655","","","","0"
"2020","Quebec [24]","2016A000224","Total, all violations [0]","Actual incidents","Number","223","units","0","v44381932","9.1.1","308070","","","","0"
"1998","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6926.94","","","","2"
"1999","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6469.11","","","","2"
"2000","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6519.07","","","","2"
"2001","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6351.58","","","","2"
"2002","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6204.43","","","","2"
"2003","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6236.38","","","","2"
"2004","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6127.71","","","","2"
"2005","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6029.64","","","","2"
"2006","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","6132.66","","","","2"
"2007","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5887.36","","","","2"
"2008","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5941.83","","","","2"
"2009","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5831.75","","","","2"
"2010","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5552.82","","","","2"
"2011","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5297.13","","","","2"
"2012","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","5213.87","","","","2"
"2013","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4724.56","","","","2"
"2014","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4348.58","","","","2"
"2015","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4252.49","","","","2"
"2016","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4232.93","","","","2"
"2017","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4329.65","","","","2"
"2018","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4164.85","","","","2"
"2019","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","4065.71","","","","2"
"2020","Quebec [24]","2016A000224","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44405480","9.1.2","3592.83","","","","2"
"1998","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","","..","","","2"
"1999","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-6.61","","","","2"
"2000","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","0.77","","","","2"
"2001","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-2.57","","","","2"
"2002","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-2.32","","","","2"
"2003","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","0.51","","","","2"
"2004","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-1.74","","","","2"
"2005","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-1.60","","","","2"
"2006","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","1.71","","","","2"
"2007","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-4.00","","","","2"
"2008","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","0.93","","","","2"
"2009","Quebec [24]","2016A000224","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44403635","9.1.3","-1.85","","","","2"
